Timestamp,deviceMake,deviceModel,Network provi.,NetworkType,RSRP,RSRQ,SINR,PCI,Downlink(Mbps),Uplink(Mbps),Velocity(km/h),Latitude,Longitude,Phone_Number
2026-01-23 07:56:20.082,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,11.05,39.743574,-8.811848000000012,402-2072
2026-01-23 07:56:19.071,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,12.64,39.743545,-8.811848000000012,777-7766
2026-01-23 07:56:18.064,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,13.0,39.743511,-8.811851000000004,985-5597
2026-01-23 07:56:17.055,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,13.61,39.743469000000005,-8.811857000000018,778-9865
2026-01-23 07:56:16.046,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,14.4,39.743428,-8.811867000000007,380-3437
2026-01-23 07:56:15.033,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,9.14,39.743395,-8.811870000000013,785-7966
2026-01-23 07:56:14.023,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,13.0,39.743366,-8.81187100000001,399-7268
2026-01-23 07:56:13.017,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,11.02,39.743331,-8.811874000000017,788-8897
2026-01-23 07:56:12.011,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,12.17,39.743302,-8.811875000000015,407-7507
2026-01-23 07:56:11.004,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,11.52,39.743272000000005,-8.811876000000012,778-5965
2026-01-23 07:56:09.999,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,8.57,39.743244,-8.811876000000012,777-9597
2026-01-23 07:56:08.994,samsung,SM-S901E , airtel,LTE (4G),-99,-12.0,0.0,371.0,29.0,18.0,13.03,39.743223,-8.811876000000012,332-8160
2026-01-23 07:56:07.988,samsung,SM-S901E , airtel,LTE (4G),-100,-12.0,-2.0,371.0,29.0,18.0,13.07,39.743191,-8.811884000000006,408-3262
2026-01-23 07:56:06.979,samsung,SM-S901E , airtel,LTE (4G),-100,-12.0,-2.0,371.0,29.0,18.0,11.74,39.74316,-8.81189400000001,775-5565
2026-01-23 07:56:05.968,samsung,SM-S901E , airtel,LTE (4G),-100,-12.0,-2.0,371.0,29.0,18.0,11.88,39.743131000000005,-8.811900000000009,329-9517
2026-01-23 07:56:04.961,samsung,SM-S901E , airtel,LTE (4G),-100,-12.0,-2.0,371.0,29.0,18.0,11.95,39.7431,-8.811900000000009,797-9989
2026-01-23 07:56:03.950,samsung,SM-S901E , airtel,LTE (4G),-99,-17.0,-2.0,370.0,29.0,18.0,11.59,39.743071,-8.811900000000009,755-6577
2026-01-23 07:56:02.942,samsung,SM-S901E , airtel,LTE (4G),-99,-17.0,-2.0,370.0,29.0,18.0,16.16,39.74304,-8.811903000000015,788-5558
2026-01-23 07:56:01.937,samsung,SM-S901E , airtel,LTE (4G),-102,-13.0,-3.0,371.0,29.0,18.0,13.5,39.743,-8.811907000000005,779-8877
2026-01-23 07:56:00.929,samsung,SM-S901E , airtel,LTE (4G),-102,-13.0,-3.0,371.0,29.0,18.0,11.45,39.742966,-8.811910000000012,352-5000
2026-01-23 07:55:59.916,samsung,SM-S901E , airtel,LTE (4G),-102,-13.0,-3.0,371.0,29.0,18.0,13.54,39.742936,-8.811909000000014,333-4492
2026-01-23 07:55:58.910,samsung,SM-S901E , airtel,LTE (4G),-102,-13.0,-3.0,371.0,29.0,18.0,13.64,39.742900000000006,-8.811901000000006,798-9995
2026-01-23 07:55:57.903,samsung,SM-S901E , airtel,LTE (4G),-102,-13.0,-3.0,371.0,29.0,18.0,11.99,39.742862,-8.811900000000009,796-5789
2026-01-23 07:55:56.890,samsung,SM-S901E , airtel,LTE (4G),-100,-13.0,-5.0,371.0,29.0,18.0,11.56,39.742827000000005,-8.811892000000014,787-8695
2026-01-23 07:55:55.870,samsung,SM-S901E , airtel,LTE (4G),-100,-13.0,-5.0,371.0,29.0,18.0,10.8,39.742801,-8.811889000000008,395-6030
2026-01-23 07:55:54.859,samsung,SM-S901E , airtel,LTE (4G),-100,-13.0,-5.0,371.0,29.0,18.0,13.21,39.742778,-8.81189400000001,788-8757
2026-01-23 07:55:53.847,samsung,SM-S901E , airtel,LTE (4G),-100,-13.0,-5.0,371.0,29.0,18.0,19.3,39.74274,-8.811865000000012,779-8598
2026-01-23 07:55:52.831,samsung,SM-S901E , airtel,LTE (4G),-106,-17.0,-3.0,370.0,29.0,18.0,15.98,39.742702,-8.811909000000014,795-6958
2026-01-23 07:55:51.821,samsung,SM-S901E , airtel,LTE (4G),-96,-12.0,-3.0,103.0,29.0,18.0,13.14,39.742665,-8.811930000000018,386-2810
2026-01-23 07:55:50.815,samsung,SM-S901E , airtel,LTE (4G),-96,-12.0,-3.0,103.0,29.0,18.0,14.44,39.742636000000005,-8.811954000000014,375-8493
2026-01-23 07:55:49.808,samsung,SM-S901E , airtel,LTE (4G),-105,-16.0,-1.0,371.0,29.0,18.0,12.2,39.742602000000005,-8.811968000000007,420-7823
2026-01-23 07:55:48.797,samsung,SM-S901E , airtel,LTE (4G),-107,-16.0,-1.0,371.0,29.0,18.0,13.18,39.742569,-8.811973000000009,999-7957
2026-01-23 07:55:47.788,samsung,SM-S901E , airtel,LTE (4G),-107,-16.0,-1.0,371.0,29.0,18.0,12.28,39.742535,-8.811980000000005,798-8578
2026-01-23 07:55:46.780,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,0.0,371.0,29.0,18.0,12.6,39.742504,-8.81198400000001,985-7658
2026-01-23 07:55:45.770,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,0.0,371.0,29.0,18.0,11.77,39.742471,-8.811986000000005,359-5718
2026-01-23 07:55:44.758,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,0.0,371.0,29.0,18.0,12.46,39.742437,-8.811988000000014,381-2709
2026-01-23 07:55:43.749,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,0.0,371.0,29.0,18.0,12.2,39.742402,-8.811987000000016,405-2831
2026-01-23 07:55:42.739,samsung,SM-S901E , airtel,LTE (4G),-101,-13.0,-3.0,371.0,29.0,18.0,12.56,39.742369,-8.811988000000014,798-7769
2026-01-23 07:55:41.731,samsung,SM-S901E , airtel,LTE (4G),-101,-13.0,-3.0,371.0,29.0,18.0,11.81,39.742335,-8.811992000000018,371-5875
2026-01-23 07:55:40.721,samsung,SM-S901E , airtel,LTE (4G),-101,-13.0,-3.0,371.0,29.0,18.0,11.99,39.742302,-8.811992000000018,999-5779
2026-01-23 07:55:39.709,samsung,SM-S901E , airtel,LTE (4G),-101,-13.0,-3.0,371.0,48.0,18.0,14.22,39.742267,-8.811993000000015,998-6659
2026-01-23 07:55:38.699,samsung,SM-S901E , airtel,LTE (4G),-101,-13.0,-3.0,371.0,48.0,18.0,12.71,39.742231,-8.811996000000008,411-8140
2026-01-23 07:55:37.687,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,-4.0,370.0,48.0,18.0,10.62,39.742202000000006,-8.812002000000007,395-4509
2026-01-23 07:55:36.666,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,-4.0,370.0,48.0,18.0,10.4,39.742179,-8.81201200000001,407-7258
2026-01-23 07:55:35.658,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,-4.0,370.0,48.0,18.0,13.28,39.742155,-8.812019000000006,348-3777
2026-01-23 07:55:34.648,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,-4.0,370.0,48.0,18.0,12.31,39.742121,-8.812021000000016,786-9987
2026-01-23 07:55:33.638,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,-4.0,370.0,48.0,18.0,12.78,39.742091,-8.812021000000016,373-6379
2026-01-23 07:55:32.631,samsung,SM-S901E , airtel,LTE (4G),-106,-16.0,-4.0,370.0,48.0,18.0,12.64,39.742059,-8.812020000000018,775-5975
2026-01-23 07:55:31.620,samsung,SM-S901E , airtel,LTE (4G),-105,-15.0,-2.0,370.0,48.0,18.0,12.64,39.742027,-8.812018000000009,777-6859
